Value	Count
15.0	110.0
12.0	100.0
27.0	85.0
57.0	82.0
24.0	78.0
39.0	76.0
21.0	69.0
36.0	66.0
33.0	63.0
43.0	62.0
48.0	62.0
34.0	61.0
30.0	60.0
60.0	58.0
42.0	57.0
45.0	57.0
82.0	56.0
44.0	54.0
84.0	52.0
992.0	49.0
69.0	46.0
71.0	46.0
25.0	45.0
11.0	44.0
19.0	44.0
63.0	43.0
1038.0	43.0
79.0	43.0
168.0	43.0
77.0	42.0
72.0	42.0
51.0	42.0
47.0	41.0
1259.0	41.0
147.0	41.0
364.0	41.0
394.0	40.0
1275.0	40.0
630.0	40.0
1039.0	40.0
66.0	40.0
180.0	39.0
174.0	39.0
1195.0	39.0
418.0	39.0
1307.0	39.0
177.0	39.0
62.0	39.0
26.0	39.0
1363.0	38.0
1249.0	38.0
18.0	38.0
22.0	38.0
1340.0	38.0
1087.0	38.0
1052.0	38.0
14.0	37.0
1049.0	37.0
99.0	37.0
119.0	37.0
37.0	37.0
1403.0	36.0
684.0	36.0
409.0	36.0
90.0	36.0
832.0	36.0
538.0	36.0
100.0	36.0
833.0	36.0
58.0	36.0
713.0	35.0
1349.0	35.0
386.0	35.0
61.0	35.0
1471.0	35.0
845.0	35.0
283.0	35.0
1011.0	35.0
1338.0	35.0
685.0	35.0
336.0	35.0
1227.0	35.0
794.0	35.0
767.0	34.0
159.0	34.0
89.0	34.0
269.0	34.0
699.0	34.0
123.0	34.0
1114.0	34.0
114.0	34.0
471.0	34.0
1496.0	34.0
10.0	34.0
152.0	34.0
110.0	34.0
171.0	34.0
28.0	33.0
1425.0	33.0
844.0	33.0
135.0	33.0
88.0	33.0
334.0	33.0
824.0	33.0
1162.0	33.0
1139.0	33.0
963.0	33.0
328.0	33.0
775.0	33.0
1048.0	33.0
8.0	33.0
973.0	33.0
118.0	33.0
121.0	33.0
29.0	33.0
255.0	33.0
35.0	33.0
1534.0	32.0
746.0	32.0
1391.0	32.0
1545.0	32.0
55.0	32.0
230.0	32.0
1147.0	32.0
688.0	32.0
443.0	32.0
1050.0	32.0
1390.0	32.0
1503.0	32.0
1045.0	32.0
784.0	32.0
275.0	32.0
190.0	32.0
415.0	32.0
946.0	32.0
349.0	32.0
467.0	32.0
1033.0	32.0
1096.0	32.0
731.0	32.0
1287.0	32.0
163.0	32.0
106.0	32.0
461.0	32.0
510.0	31.0
1174.0	31.0
759.0	31.0
1354.0	31.0
911.0	31.0
1325.0	31.0
1075.0	31.0
126.0	31.0
755.0	31.0
127.0	31.0
317.0	31.0
1088.0	31.0
1299.0	31.0
1184.0	31.0
883.0	31.0
83.0	31.0
1076.0	31.0
568.0	31.0
117.0	31.0
241.0	31.0
237.0	31.0
1118.0	31.0
372.0	31.0
75.0	31.0
419.0	31.0
1339.0	31.0
886.0	31.0
1434.0	31.0
1406.0	31.0
1501.0	30.0
780.0	30.0
1099.0	30.0
1197.0	30.0
1315.0	30.0
940.0	30.0
396.0	30.0
1064.0	30.0
437.0	30.0
771.0	30.0
1507.0	30.0
567.0	30.0
638.0	30.0
281.0	30.0
917.0	30.0
1182.0	30.0
1487.0	30.0
